RunNumber,EventNumber,LumiBlock,TimeStamp,TimeStampNS,BCID,extL1ID,triggerType,mu_pt,mu_eta,mu_phi,mu_E,mu_charge
479103,0,533,1719504439,914050265,1870,3271957908,132,"[5.171802043914795, 2.8686420917510986]","[0.20907816290855408, 2.424474000930786]","[-2.7922475337982178, -0.0514490082859993]","[5.286309719085693, 16.329814910888672]","[1, -1]"
479103,0,533,1719504471,584240630,2630,3389108611,132,"[3.457977056503296, 3.156350612640381]","[-1.164786458015442, 1.8857746124267578]","[-1.4177253246307373, 2.9118757247924805]","[6.0821638107299805, 10.642428398132324]","[1, -1]"
479103,0,533,1719504485,894846755,2490,3439380948,132,"[5.123100280761719, 4.284304618835449, 3.1627039909362793, 2.37961745262146, 2.233333110809326]","[0.08765295892953873, 0.8255073428153992, 2.136721134185791, 1.9750202894210815, 0.8959592580795288]","[1.4680867195129395, 0.3978956937789917, -0.4810430407524109, -0.2350630909204483, 2.0174899101257324]","[5.14387845993042, 5.829864501953125, 13.583681106567383, 8.740407943725586, 3.19307017326355]","[-1, 1, 1, -1, 1]"
479103,0,534,1719504494,402963885,2685,3456468559,136,"[11.701642036437988, 8.676846504211426, 8.557482719421387, 2.544512987136841]","[0.5691025257110596, -0.906126081943512, 0.3086206614971161, 2.0865070819854736]","[-2.5020785331726074, 1.4020917415618896, -2.5378177165985107, 2.1028223037719727]","[13.648700714111328, 12.48991584777832, 8.96888542175293, 10.408668518066406]","[-1, 1, 1, -1]"
479103,0,535,1719504501,798250000,1653,3489797365,136,"[48.08002471923828, 43.09588623046875, 3.668275833129883]","[0.5350371599197388, 0.5547956228256226, 1.6885287761688232]","[-2.3340704441070557, 0.9774097800254822, -0.7331898212432861]","[55.1276741027832, 49.900291442871094, 10.264938354492188]","[-1, 1, -1]"
479103,0,535,1719504502,542865435,138,3489864099,132,[1.3555396795272827],[2.5715768337249756],[-0.984179675579071],[8.922014236450195],[-1]
479103,0,535,1719504504,464721520,986,3490036346,132,[],[],[],[],[]
479103,0,535,1719504508,723456440,3179,3506749591,132,[],[],[],[],[]
479103,0,535,1719504509,376362115,515,3506808159,132,[],[],[],[],[]
479103,0,535,1719504511,746329745,2217,3523348658,140,"[38.341041564941406, 2.95739483833313]","[-0.6970497369766235, 2.528984546661377]","[-3.1018433570861816, -1.6611555814743042]","[48.039005279541016, 18.662206649780273]","[-1, -1]"
